date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:17	1626/1626	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/assets/brand/bootstrap-solid.svg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/assets/brand/bootstrap-solid.svg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:17	1864/1864	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/assets/brand/bootstrap-outline.svg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/assets/brand/bootstrap-outline.svg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:18	1647/1647	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/assets/brand/bootstrap-punchout.svg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/assets/brand/bootstrap-punchout.svg	(from https://getbootstrap.com/docs/3.3/about/)
14:39:18	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22581a4fbb-247c%22	https://getbootstrap.com/docs/3.3/favicon.ico	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/favicon.ico	(from https://getbootstrap.com/docs/3.3/examples/starter-template/)
14:39:19	433/433	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/assets/css/ie10-viewport-bug-workaround.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/assets/css/ie10-viewport-bug-workaround.css	(from https://getbootstrap.com/docs/3.3/examples/starter-template/)
14:39:19	96/96	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/starter-template/starter-template.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/starter-template/starter-template.css	(from https://getbootstrap.com/docs/3.3/examples/starter-template/)
14:39:19	23409/23409	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/dist/css/bootstrap-theme.min.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/dist/css/bootstrap-theme.min.css	(from https://getbootstrap.com/docs/3.3/examples/theme/)
14:39:20	255/255	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/theme/theme.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/theme/theme.css	(from https://getbootstrap.com/docs/3.3/examples/theme/)
14:39:21	362/362	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/grid/grid.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/grid/grid.css	(from https://getbootstrap.com/docs/3.3/examples/grid/)
14:39:21	127/127	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/jumbotron/jumbotron.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/jumbotron/jumbotron.css	(from https://getbootstrap.com/docs/3.3/examples/jumbotron/)
14:39:22	1411/1411	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/jumbotron-narrow/jumbotron-narrow.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/jumbotron-narrow/jumbotron-narrow.css	(from https://getbootstrap.com/docs/3.3/examples/jumbotron-narrow/)
14:39:22	90/90	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/navbar/navbar.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/navbar/navbar.css	(from https://getbootstrap.com/docs/3.3/examples/navbar/)
14:39:23	78/78	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/navbar-static-top/navbar-static-top.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/navbar-static-top/navbar-static-top.css	(from https://getbootstrap.com/docs/3.3/examples/navbar-static-top/)
14:39:23	52/52	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/navbar-fixed-top/navbar-fixed-top.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/navbar-fixed-top/navbar-fixed-top.css	(from https://getbootstrap.com/docs/3.3/examples/navbar-fixed-top/)
14:39:24	2531/2531	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/cover/cover.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/cover/cover.css	(from https://getbootstrap.com/docs/3.3/examples/cover/)
14:39:24	2538/2538	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/carousel/carousel.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/carousel/carousel.css	(from https://getbootstrap.com/docs/3.3/examples/carousel/)
14:39:25	21934/21934	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/assets/js/vendor/holder.min.js	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/assets/js/vendor/holder.min.js	(from https://getbootstrap.com/docs/3.3/examples/carousel/)
14:39:26	2409/2409	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/blog/blog.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/blog/blog.css	(from https://getbootstrap.com/docs/3.3/examples/blog/)
14:39:27	1557/1557	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/dashboard/dashboard.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/dashboard/dashboard.css	(from https://getbootstrap.com/docs/3.3/examples/dashboard/)
14:39:27	793/793	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/signin/signin.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/signin/signin.css	(from https://getbootstrap.com/docs/3.3/examples/signin/)
14:39:28	2257/2257	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/justified-nav/justified-nav.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/justified-nav/justified-nav.css	(from https://getbootstrap.com/docs/3.3/examples/justified-nav/)
14:39:28	602/602	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/sticky-footer/sticky-footer.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/sticky-footer/sticky-footer.css	(from https://getbootstrap.com/docs/3.3/examples/sticky-footer/)
14:39:28	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Jun%202018%2008:39:29%20GMT	https://getbootstrap.com/docs/3.3/examples/sticky-footer-navbar	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/sticky-footer-navbar	(from https://getbootstrap.com/docs/3.3/examples/sticky-footer/)
14:39:29	678/678	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/sticky-footer-navbar/sticky-footer-navbar.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/sticky-footer-navbar/sticky-footer-navbar.css	(from https://getbootstrap.com/docs/3.3/examples/sticky-footer-navbar/)
14:39:29	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Jun%202018%2008:39:30%20GMT	https://getbootstrap.com/docs/3.3/examples/sticky-footer	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/sticky-footer	(from https://getbootstrap.com/docs/3.3/examples/sticky-footer-navbar/)
14:39:30	5208/5208	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/non-responsive/non-responsive.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/non-responsive/non-responsive.css	(from https://getbootstrap.com/docs/3.3/examples/non-responsive/)
14:39:31	990/990	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/offcanvas/offcanvas.css	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/offcanvas/offcanvas.css	(from https://getbootstrap.com/docs/3.3/examples/offcanvas/)
14:39:32	140/140	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/offcanvas/offcanvas.js	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/offcanvas/offcanvas.js	(from https://getbootstrap.com/docs/3.3/examples/offcanvas/)
